CURRENT	MARKER_NUMBER	METHOD	MISSING_DATA	MEAN	SE	MIN	MAX	MEDIAN	QUANTILE25	QUANTILE75	SE_MIN	SE_MAX	SUBSAMPLE
south	200	ranked_thl_0.5	no.imputation	96	1.63	90	100	100	90	100	94.37	97.63	9
south	300	ranked_thl_0.5	no.imputation	96	1.63	90	100	100	90	100	94.37	97.63	9
south	400	ranked_thl_0.5	no.imputation	96	1.63	90	100	100	90	100	94.37	97.63	9
south	500	ranked_thl_0.5	no.imputation	96	1.63	90	100	100	90	100	94.37	97.63	9
south	1000	ranked_thl_0.5	no.imputation	96	1.63	90	100	100	90	100	94.37	97.63	9
south	15454	ranked_thl_0.5	no.imputation	96	1.63	90	100	100	90	100	94.37	97.63	9
OVERALL	50	ranked_thl_0.5	no.imputation	95.5	0.5	95	96	95.5	95.25	95.75	95	96	9
OVERALL	100	ranked_thl_0.5	no.imputation	97	1	96	98	97	96.5	97.5	96	98	9
OVERALL	200	ranked_thl_0.5	no.imputation	97	1	96	98	97	96.5	97.5	96	98	9
OVERALL	300	ranked_thl_0.5	no.imputation	97.5	1.5	96	99	97.5	96.75	98.25	96	99	9
OVERALL	400	ranked_thl_0.5	no.imputation	97.5	1.5	96	99	97.5	96.75	98.25	96	99	9
OVERALL	500	ranked_thl_0.5	no.imputation	97.5	1.5	96	99	97.5	96.75	98.25	96	99	9
OVERALL	1000	ranked_thl_0.5	no.imputation	97	1	96	98	97	96.5	97.5	96	98	9
OVERALL	15454	ranked_thl_0.5	no.imputation	98	2	96	100	98	97	99	96	100	9
north	50	ranked_thl_0.5	no.imputation	99	1	90	100	100	100	100	98	100	10
north	100	ranked_thl_0.5	no.imputation	98	1.33	90	100	100	100	100	96.67	99.33	10
north	200	ranked_thl_0.5	no.imputation	97	1.53	90	100	100	92.5	100	95.47	98.53	10
north	300	ranked_thl_0.5	no.imputation	98	1.33	90	100	100	100	100	96.67	99.33	10
north	400	ranked_thl_0.5	no.imputation	97.78	1.47	90	100	100	100	100	96.31	99.25	10
north	500	ranked_thl_0.5	no.imputation	98	1.33	90	100	100	100	100	96.67	99.33	10
north	1000	ranked_thl_0.5	no.imputation	98	1.33	90	100	100	100	100	96.67	99.33	10
north	15454	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	10
south	50	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	10
south	100	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	10
south	200	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	10
south	300	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	10
south	400	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	10
south	500	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	10
south	1000	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	10
south	15454	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	10
OVERALL	50	ranked_thl_0.5	no.imputation	99.5	0.5	99	100	99.5	99.25	99.75	99	100	10
OVERALL	100	ranked_thl_0.5	no.imputation	99	1	98	100	99	98.5	99.5	98	100	10
OVERALL	200	ranked_thl_0.5	no.imputation	98.5	1.5	97	100	98.5	97.75	99.25	97	100	10
OVERALL	300	ranked_thl_0.5	no.imputation	99	1	98	100	99	98.5	99.5	98	100	10
OVERALL	400	ranked_thl_0.5	no.imputation	98.89	1.11	97.78	100	98.89	98.34	99.44	97.78	100	10
OVERALL	500	ranked_thl_0.5	no.imputation	99	1	98	100	99	98.5	99.5	98	100	10
OVERALL	1000	ranked_thl_0.5	no.imputation	99	1	98	100	99	98.5	99.5	98	100	10
OVERALL	15454	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	10
north	50	ranked_thl_0.5	no.imputation	93	1.53	90	100	90	90	97.5	91.47	94.53	11
north	100	ranked_thl_0.5	no.imputation	93	2.13	80	100	90	90	100	90.87	95.13	11
north	200	ranked_thl_0.5	no.imputation	96	2.21	80	100	100	92.5	100	93.79	98.21	11
north	300	ranked_thl_0.5	no.imputation	96	2.21	80	100	100	92.5	100	93.79	98.21	11
north	400	ranked_thl_0.5	no.imputation	98	1.33	90	100	100	100	100	96.67	99.33	11
north	500	ranked_thl_0.5	no.imputation	95	1.67	90	100	95	90	100	93.33	96.67	11
north	1000	ranked_thl_0.5	no.imputation	96	1.63	90	100	100	90	100	94.37	97.63	11
north	15454	ranked_thl_0.5	no.imputation	94	1.63	90	100	90	90	100	92.37	95.63	11
south	50	ranked_thl_0.5	no.imputation	90	2.58	80	100	90	82.5	97.5	87.42	92.58	11
south	100	ranked_thl_0.5	no.imputation	90	2.58	80	100	90	82.5	97.5	87.42	92.58	11
south	200	ranked_thl_0.5	no.imputation	90	2.58	80	100	90	82.5	97.5	87.42	92.58	11
south	300	ranked_thl_0.5	no.imputation	90	2.58	80	100	90	82.5	97.5	87.42	92.58	11
south	400	ranked_thl_0.5	no.imputation	90	2.58	80	100	90	82.5	97.5	87.42	92.58	11
south	500	ranked_thl_0.5	no.imputation	90	2.58	80	100	90	82.5	97.5	87.42	92.58	11
south	1000	ranked_thl_0.5	no.imputation	90	2.58	80	100	90	82.5	97.5	87.42	92.58	11
south	15454	ranked_thl_0.5	no.imputation	90	2.58	80	100	90	82.5	97.5	87.42	92.58	11
OVERALL	50	ranked_thl_0.5	no.imputation	91.5	1.5	90	93	91.5	90.75	92.25	90	93	11
OVERALL	100	ranked_thl_0.5	no.imputation	91.5	1.5	90	93	91.5	90.75	92.25	90	93	11
OVERALL	200	ranked_thl_0.5	no.imputation	93	3	90	96	93	91.5	94.5	90	96	11
OVERALL	300	ranked_thl_0.5	no.imputation	93	3	90	96	93	91.5	94.5	90	96	11
OVERALL	400	ranked_thl_0.5	no.imputation	94	4	90	98	94	92	96	90	98	11
OVERALL	500	ranked_thl_0.5	no.imputation	92.5	2.5	90	95	92.5	91.25	93.75	90	95	11
OVERALL	1000	ranked_thl_0.5	no.imputation	93	3	90	96	93	91.5	94.5	90	96	11
OVERALL	15454	ranked_thl_0.5	no.imputation	92	2	90	94	92	91	93	90	94	11
north	50	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	12
north	100	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	12
north	200	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	12
north	300	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	12
north	400	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	12
north	500	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	12
north	1000	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	12
north	15454	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	12
south	50	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	12
south	100	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	12
south	200	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	12
south	300	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	12
south	400	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	12
south	500	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	12
south	1000	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	12
south	15454	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	12
OVERALL	50	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	12
OVERALL	100	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	12
OVERALL	200	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	12
OVERALL	300	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	12
OVERALL	400	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	12
OVERALL	500	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	12
OVERALL	1000	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	12
OVERALL	15454	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	12
north	50	ranked_thl_0.5	no.imputation	94	1.63	90	100	90	90	100	92.37	95.63	13
north	100	ranked_thl_0.5	no.imputation	94	1.63	90	100	90	90	100	92.37	95.63	13
north	200	ranked_thl_0.5	no.imputation	93	1.53	90	100	90	90	97.5	91.47	94.53	13
north	300	ranked_thl_0.5	no.imputation	93	1.53	90	100	90	90	97.5	91.47	94.53	13
north	400	ranked_thl_0.5	no.imputation	95	1.67	90	100	95	90	100	93.33	96.67	13
north	500	ranked_thl_0.5	no.imputation	95	1.67	90	100	95	90	100	93.33	96.67	13
north	1000	ranked_thl_0.5	no.imputation	98	1.33	90	100	100	100	100	96.67	99.33	13
